,count,mean,std,min,5%,25%,50%,75%,95%,max
road_common_name_dis,33833.0,17.624183489492506,8.975101974819513,0.1,4.5,12.3,17.2,22.4,29.4,247.5
road_other_dis,261.0,19.613409961685825,8.158714799133053,0.3,3.8,15.1,19.8,26.3,30.5,38.8
road_state_dis,763.0,17.164351245085193,5.974437053161308,0.1,6.01,15.05,17.5,20.15,25.389999999999997,63.2
road_US_dis,111.0,15.501801801801802,6.059492657760323,1.7,4.6,12.25,15.7,19.5,24.7,28.8
Ecoregion_US_L3CODE,51023.0,31.235227250455676,3.1949783792249806,23.0,25.0,29.0,32.0,34.0,35.0,35.0
Ecoregion_NA_L2CODE,51023.0,9.020767105031066,0.5518403357620618,8.3,8.3,8.3,9.4,9.4,9.5,13.1
Ecoregion_NA_L1CODE,51023.0,8.645238421888168,0.4972871541004152,8.0,8.0,8.0,9.0,9.0,9.0,13.0
SDI,51033.0,-6.667888359268098e+31,1.5063083011174964e+34,-3.4028234663852885e+36,0.0,0.0,0.05,0.07,0.1,2.04
Annual_etr,51033.0,2223.181980287265,256.3575855138966,1516.0,1846.0,2016.0,2199.0,2411.0,2672.0,3166.0
Annual_precipitation,51033.0,1074.0202026139948,414.2954158199546,136.0,471.0,741.0,1046.0,1333.0,1828.0,2815.0
Annual_tempreture,51033.0,292.16928262104915,1.9618089352472197,286.0,288.0,291.0,292.0,293.0,296.0,299.0
Aridity_index,51033.0,0.5072821507651911,0.240699571642372,0.05,0.18,0.31,0.47,0.66,0.96,1.54
Evacuation,767.0,2.6870925684485005,1.330944332111485,2.0,2.0,2.0,2.0,4.0,6.699999999999932,7.0
pr,51033.0,1.280271611160098,6.103158740819049,0.0,0.0,0.0,0.0,0.0,7.300000190734863,275.3000183105469
tmmn,51033.0,286.5313131027307,9.207962544066808,251.6999969482422,271.29998779296875,278.6000061035156,288.20001220703125,295.1000061035156,297.8999938964844,302.20001220703125
tmmx,51033.0,301.1874767546627,8.16874496501481,263.20001220703125,286.3999938964844,295.6000061035156,302.70001220703125,308.0,311.29998779296875,317.5
rmin,51033.0,31.086231012418455,13.447108779535013,1.0,10.40000057220459,21.80000114440918,30.30000114440918,39.400001525878906,53.10000228881836,100.0
rmax,51033.0,82.18171886101514,15.4969517384437,21.200000762939453,52.60000228881836,72.30000305175781,84.70000457763672,95.8000030517578,100.0,100.0
sph,51033.0,0.009538401581465634,0.005011380665150573,0.0006200000061653,0.0024899998679757,0.0048099998384714,0.0094200000166893,0.0139899998903274,0.0173599999397993,0.0239799991250038
vs,51033.0,4.371649716849881,1.5229112119680208,0.6,2.3,3.3,4.1,5.3,7.2,13.2
th,51033.0,146.55716889071778,78.26728799465106,0.0,24.0,86.0,151.0,195.0,289.0,360.0
srad,51033.0,233.19976319112402,76.7921649877483,0.0,119.5,167.10000610351562,234.40000915527344,303.0,343.0,388.0
etr,51033.0,7.484511982442733,3.013038039260894,0.1,2.8,5.2,7.4,9.6,12.6,18.8
fm100,51033.0,13.25903630983873,3.2368982825489567,2.9,7.960000000000036,11.0,13.3,15.5,18.4,26.5
fm1000,51033.0,15.507777320557286,2.931688162957083,4.4,10.6,13.5,15.7,17.5,20.1,28.5
bi,51033.0,35.91766112123528,18.483973439256502,0.0,0.0,29.0,37.0,46.0,63.0,139.0
vpd,51033.0,1.439879685693571,0.734023488509364,0.0,0.42,0.89,1.33,1.91,2.77,5.06
erc,51033.0,39.192110987008405,13.244921224097467,0.0,19.0,30.0,38.0,47.0,63.0,103.0
pr_5D_mean,51033.0,1.5746701154155154,3.8265978864841115,0.0,0.0,0.0,0.06,1.5,7.92,213.72
tmmn_5D_mean,51033.0,286.6128434465934,8.790370575184054,257.66,272.0,278.97998,287.74,295.02002,297.53998,302.13998
tmmx_5D_mean,51033.0,300.6369451090471,7.947362666415797,272.3,286.74,294.34,301.88,307.62,310.82,316.58
rmin_5D_mean,51033.0,33.58119060215939,11.275041658805664,1.0,14.8,26.0,33.4,41.1,52.2,92.9
rmax_5D_mean,51033.0,83.28108282875786,11.582034350693169,22.4,61.5,76.4,85.1,92.2,98.5,100.0
sph_5D_mean,51033.0,0.009727971279039054,0.00471154745023199,0.0012899999,0.0029759998,0.005482,0.009386,0.013868001,0.017226,0.024344
vs_5D_mean,51033.0,4.368217819842063,0.9915594997916712,0.9,2.86,3.68,4.3,5.0,6.12,8.68
th_5D_mean,51033.0,145.3797581956773,54.339511398470066,2.8,51.2,107.2,149.4,181.0,234.6,317.8
srad_5D_mean,51033.0,228.43460899024163,74.9399643209563,42.260002,113.67201,160.84,230.2,297.64,336.48,388.08002
etr_5D_mean,51033.0,7.168047733819293,2.7697902446941014,0.52,3.04,4.98,6.96,9.24,11.86,17.86
fm100_5D_mean,51033.0,13.449503262594789,3.062562148953665,3.1,8.3,11.4,13.6,15.6,18.2,25.8
fm1000_5D_mean,51033.0,15.540683479317304,2.9200362654976786,4.4,10.6,13.5,15.7,17.5,20.1,28.4
bi_5D_mean,51033.0,34.72382575980249,13.641943737744032,0.0,14.8,25.6,33.6,42.4,58.6,111.2
vpd_5D_mean,51033.0,1.3730198107107165,0.6801109178487842,0.0,0.49,0.84,1.23,1.83,2.62,4.65
erc_5D_mean,51033.0,38.41611898183528,12.642254397995222,0.6,20.8,29.4,36.6,46.2,61.2,103.4
