========================================================================
  Texas Wildfire Dataset -- Data Overview
========================================================================
  Rows           : 51,033
  Columns        : 310
  Large fires    : 1,700  (FIRE_SIZE >= 100 acres)
  Small fires    : 49,333  (FIRE_SIZE < 100 acres)
  Years          : [2014, 2015, 2016, 2017, 2018, 2019, 2020]

  Column                                         Dtype           Unique     Nulls    Null%
  fm100_5D_min                                   float64            195         0     0.0%
  fm1000_5D_min                                  float64            213         0     0.0%
  bi_5D_max                                      float64            116         0     0.0%
  vpd_5D_max                                     float64            478         0     0.0%
  erc_5D_max                                     float64            100         0     0.0%
  tmmn_Percentile                                object               1         0     0.0%
  tmmx_Percentile                                object               1         0     0.0%
  sph_Percentile                                 object               6         0     0.0%
  vs_Percentile                                  object               7        57     0.1%
  fm100_Percentile                               object               7         5     0.0%
  bi_Percentile                                  object               7        37     0.1%
  vpd_Percentile                                 object              13        31     0.1%
  erc_Percentile                                 object               7        27     0.1%
  NDVI-1day                                      float64            107       947     1.9%
  NDVI_min                                       object          41,160         0     0.0%
  NDVI_max                                       object          41,218         0     0.0%
  NDVI_mean                                      object          41,218         0     0.0%
  CheatGrass                                     float64             21    16,842    33.0%
  ExoticAnnualGrass                              float64             24    16,842    33.0%
  Medusahead                                     float64              8    16,842    33.0%
  PoaSecunda                                     float64              8    16,842    33.0%
  geometry                                       float64              1    51,033   100.0%
  source_year                                    int64                7         0     0.0%
  large_fire                                     int32                2         0     0.0%
