Column,Count Non-Null,Count Finite,Mean,Median,Std,Variance,Min,P5,Q1 (25%),Q3 (75%),P95,Max,IQR,Skewness,Kurtosis (excess),Outlier Count (IQR),Outlier %,Infinite Count,Highly Skewed,Heavy Tailed,Q1,Q3,Kurtosis
EPL_NOHSDP,50837,50837,0.200323,0.5738,19.322879,373.373635,-999.0,0.0996,0.3459,0.8357,0.9852,0.9999,0.4898,-51.682246,2669.738245,19,0.0374,0,True,True,,,
rmin_Normal,50075,50075,28.118045,25.4,10.014049,100.281176,7.6,16.2,21.1,32.9,49.1,72.0,11.8,1.129109,0.999686,18,0.0359,0,False,False,,,
EPL_AGE65,50837,50837,0.220288,0.6334,18.808305,353.75235,-999.0,0.0678,0.2657,0.8798,0.9671,0.9999,0.6141,-53.094896,2817.97133,18,0.0354,0,True,True,,,
EPL_CROWD,50837,50837,0.30804,0.73,18.809319,353.790477,-999.0,0.0,0.4997,0.8915,0.9775,0.9999,0.3918,-53.100306,2818.354202,18,0.0354,0,True,True,,,
EPL_AGE17,50837,50837,0.131438,0.4336,18.806634,353.689478,-999.0,0.058,0.1947,0.803,0.9629,1.0,0.6083,-53.094886,2817.970746,18,0.0354,0,True,True,,,
EPL_MINRTY,50837,50837,0.225961,0.5762,18.807123,353.70789,-999.0,0.2406,0.384,0.7767,0.92674,0.9968,0.3927,-53.105818,2818.744629,18,0.0354,0,True,True,,,
EPL_LIMENG,50837,50837,0.253811,0.6561,18.808433,353.757169,-999.0,0.0,0.3962,0.8521,0.9733,0.9999,0.4559,-53.099159,2818.273035,18,0.0354,0,True,True,,,
EPL_MUNIT,50837,50837,-0.04809,0.2956,18.802498,353.533927,-999.0,0.0,0.0,0.4743,0.8114,0.9988,0.4743,-53.101301,2818.424909,18,0.0354,0,True,True,,,
EPL_GROUPQ,50837,50837,0.196931,0.6214,18.807854,353.735368,-999.0,0.0,0.4084,0.7919,0.9577,0.9976,0.3835,-53.094998,2817.978407,18,0.0354,0,True,True,,,
EPL_SNGPNT,50837,50837,0.096086,0.4085,18.805554,353.648864,-999.0,0.0426,0.1944,0.7078,0.9245,0.9999,0.5134,-53.098398,2818.219396,18,0.0354,0,True,True,,,
fm100_5D_min,50881,50881,8.687828,7.9,3.365339,11.325509,1.8,4.4,6.2,10.6,15.3,28.9,4.4,0.943076,0.694409,17,0.0334,0,False,False,,,
TRI_1km,50881,50881,10.50655,7.303,10.429333,108.770994,0.0,0.41,1.776,16.35,31.659,75.334,14.574,1.225714,1.183483,13,0.0255,0,False,False,,,
bi,50881,50881,45.697844,47.0,20.06097,402.442505,0.0,0.0,36.0,58.0,76.0,143.0,22.0,-0.420052,0.651681,10,0.0197,0,False,False,,,
fm1000_Normal,50075,50075,11.974524,11.2,3.797975,14.424611,3.4,7.2,9.2,14.0,19.7,30.9,4.8,0.982026,1.008251,9,0.018,0,False,False,,,
etr,50881,50881,7.827839,7.8,2.980401,8.88279,0.1,2.9,5.8,9.7,12.9,24.7,3.9,0.246999,0.170777,9,0.0177,0,False,False,,,
tmmn_5D_mean,50881,50881,285.58038,285.82,5.242464,27.483434,258.0,276.36002,282.40002,289.13998,293.66,305.12,6.73996,-0.312088,0.454311,8,0.0157,0,False,False,,,
bi_5D_max,50881,50881,55.356223,54.0,16.973501,288.099734,0.0,30.0,44.0,66.0,85.0,143.0,22.0,0.363327,0.507057,8,0.0157,0,False,False,,,
road_common_name_dis,33061,33061,30.519174,35.1,14.04219,197.183097,0.1,2.5,23.6,39.7,47.7,269.8,16.1,0.000113,11.712328,5,0.0151,0,False,True,,,
etr_5D_max,50881,50881,9.206615,9.2,3.088139,9.536604,0.4,4.2,7.1,11.1,14.5,24.7,4.0,0.223132,0.18012,6,0.0118,0,False,False,,,
tmmn,50881,50881,285.642611,285.899994,5.478076,30.009316,257.399994,276.0,282.299988,289.299988,294.200012,305.100006,7.0,-0.300464,0.423832,6,0.0118,0,False,False,,,
vpd,50881,50881,1.806207,1.69,0.96834,0.937682,0.0,0.46,1.06,2.44,3.56,7.48,1.38,0.63037,0.190764,5,0.0098,0,False,False,,,
fm100,50881,50881,9.767241,9.0,3.727291,13.8927,1.9,4.9,6.9,12.2,16.6,30.3,5.3,0.772204,0.325195,5,0.0098,0,False,False,,,
etr_5D_mean,50881,50881,7.752982,7.78,2.749055,7.557303,0.38,3.12,5.9,9.58,12.28,22.1,3.68,0.098849,-0.088192,4,0.0079,0,False,False,,,
tmmn_5D_max,50881,50881,287.536143,287.7,5.246726,27.52813,258.0,278.4,284.3,291.2,295.7,306.6,6.9,-0.269656,0.394615,4,0.0079,0,False,False,,,
fm100_5D_mean,50881,50881,9.809664,9.1,3.624479,13.136851,2.0,5.0,7.0,12.1,16.5,30.0,5.1,0.759502,0.326207,3,0.0059,0,False,False,,,
vpd_5D_max,50881,50881,2.245181,2.17,1.008242,1.016552,0.0,0.74,1.48,2.93,3.96,7.59,1.45,0.465289,0.089381,3,0.0059,0,False,False,,,
