Column Name,Data Type,Semantic Type,Example Value,Unique Values,Missing Count,Missing %,Description
Ecoregion_NA_L2CODE,float64,Numeric,11.1,5,68,0.1336,Ecoregion classification
Ecoregion_NA_L1CODE,float64,Numeric,11.0,4,68,0.1336,Ecoregion classification
SDI,float64,Numeric,0.62,224,0,0.0,No description available
Annual_etr,float64,Numeric,2533.0,2203,0,0.0,No description available
Annual_precipitation,float64,Numeric,476.0,2469,0,0.0,Precipitation variable
Annual_tempreture,float64,Numeric,287.0,26,0,0.0,No description available
Aridity_index,float64,Numeric,0.19,227,0,0.0,No description available
Evacuation,float64,Numeric,2.0,4,45352,89.1335,No description available
pr,float64,Numeric,0.0,355,0,0.0,No description available
tmmn,float64,Numeric,272.70001220703125,421,0,0.0,No description available
tmmx,float64,Numeric,292.79998779296875,458,0,0.0,No description available
rmin,float64,Numeric,2.799999952316284,841,0,0.0,No description available
rmax,float64,Numeric,33.900001525878906,871,0,0.0,No description available
sph,float64,Numeric,0.0013299999991431,1417,0,0.0,No description available
vs,float64,Numeric,3.7,135,0,0.0,No description available
th,float64,Numeric,127.0,361,0,0.0,No description available
srad,float64,Numeric,131.5,3284,0,0.0,No description available
etr,float64,Numeric,5.9,214,0,0.0,No description available
fm100,float64,Numeric,4.7,253,0,0.0,No description available
fm1000,float64,Numeric,9.2,284,0,0.0,No description available
