Column,Count Non-Null,Count Finite,Mean,Median,Std,Variance,Min,P5,Q1 (25%),Q3 (75%),P95,Max,IQR,Skewness,Kurtosis (excess),Outlier Count (IQR),Outlier %,Infinite Count,Highly Skewed,Heavy Tailed,Q1,Q3,Kurtosis
A_ET,51031,51031,0.00727,0.0,0.084955,0.007217,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.60022,132.570295,371,0.727,0,True,True,,,
TPF,51031,51031,4935.065254,4552.0,2678.751948,7175712.001425,0.0,1860.0,3154.0,6055.0,9280.0,51536.0,2901.0,2.733112,20.653214,349,0.6839,0,True,True,,,
ALI,51031,51031,0.0068,0.0,0.082181,0.006754,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.003279,142.084285,347,0.68,0,True,True,,,
CC,51031,51031,0.652976,0.0,1.137926,1.294876,0.0,0.0,0.0,1.0,3.0,7.0,1.0,1.82519,2.674058,344,0.6741,0,False,False,,,
TPI,51033,51033,0.035021,0.0,0.469904,0.22081,-7.125,-0.625,-0.25,0.25,0.75,7.0,0.5,0.432642,12.864094,343,0.6721,0,False,True,,,
M_TRN,51031,51031,0.006427,0.0,0.079914,0.006386,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.353046,150.603659,328,0.6427,0,True,True,,,
PM25LI,51031,51031,0.006153,0.0,0.078201,0.006115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.630704,157.540852,314,0.6153,0,True,True,,,
Slope_1km,51033,51033,1.138868,1.057851,1.147882,1.317632,-0.813018,-0.52634,0.472261,1.69021,2.885537,27.343195,1.217949,2.830454,32.25451,286,0.5604,0,True,True,,,
LPP_ET,51031,51031,0.005546,0.0,0.074263,0.005515,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.316815,175.344429,283,0.5546,0,True,True,,,
TPLI,51031,51031,0.005408,0.0,0.073344,0.005379,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.487441,179.918111,276,0.5408,0,True,True,,,
pr_5D_min,51033,51033,0.006541,0.0,0.150547,0.022665,0.0,0.0,0.0,0.0,0.0,15.3,0.0,48.212521,3407.757978,254,0.4977,0,True,True,,,
bi_5D_max,51033,51033,46.304979,44.0,13.904325,193.33025,0.0,28.0,37.0,53.0,71.0,139.0,16.0,1.085807,2.878742,243,0.4762,0,False,False,,,
LPMHVLI,51031,51031,0.004272,0.0,0.065221,0.004254,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.202139,229.114012,218,0.4272,0,True,True,,,
WDLI,51031,51031,0.004233,0.0,0.064922,0.004215,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.273264,231.281658,216,0.4233,0,True,True,,,
M_WTR,51031,51031,0.004233,0.0,0.064922,0.004215,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.273264,231.281658,216,0.4233,0,True,True,,,
SDI,51033,51033,-6.667888359268098e+31,0.05,1.5063083011174964e+34,2.2689646980154785e+68,-3.4028234663852885e+36,0.0,0.0,0.07,0.1,2.04,0.07,-225.904847,51033.0,213,0.4174,0,True,True,,,
DS_ET,51031,51031,0.00341,0.0,0.058294,0.003398,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.038254,288.313396,174,0.341,0,True,True,,,
erc_Normal,51033,51033,32.807003,31.6,7.766034,60.311288,14.3,22.5,27.4,37.0,46.900002,91.199997,9.6,1.054044,2.329848,150,0.2939,0,False,False,,,
TSDF_PFS,51031,51031,0.154679,0.1,0.154801,0.023963,0.0,0.01,0.04,0.23,0.48,0.93,0.19,1.624973,2.66289,144,0.2822,0,False,False,,,
road_state_dis,763,763,17.164351,17.5,5.974437,35.693898,0.1,6.01,15.05,20.15,25.39,63.2,5.1,0.73332,8.902805,2,0.2621,0,False,True,,,
rmax_Normal,48458,48458,87.899567,88.2,5.578116,31.115378,40.7,78.3,84.7,92.2,95.6,99.8,7.5,-1.002151,3.256331,121,0.2497,0,False,False,,,
bi,51033,51033,35.917661,37.0,18.483973,341.657274,0.0,0.0,29.0,46.0,63.0,139.0,17.0,-0.184937,0.792156,125,0.2449,0,False,False,,,
DF_PFS,50994,50994,0.714384,0.75,0.191983,0.036857,0.0,0.31,0.64,0.85,0.95,0.99,0.21,-1.297508,1.743983,107,0.2098,0,False,False,,,
rmin,51033,51033,31.086231,30.300001,13.447109,180.824735,1.0,10.400001,21.800001,39.400002,53.100002,100.0,17.6,0.618164,1.427437,99,0.194,0,False,False,,,
DPMLI,51031,51031,0.001528,0.0,0.039066,0.001526,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.520255,649.308855,78,0.1528,0,True,True,,,
fm100_Normal,51033,51033,14.836686,15.1,1.714166,2.938366,5.0,11.6,13.9,16.0,17.3,20.0,2.1,-0.700013,0.845567,77,0.1509,0,False,False,,,
bi_5D_mean,51033,51033,34.723826,33.6,13.641944,186.102629,0.0,14.8,25.6,42.4,58.6,111.2,16.8,0.696048,1.382778,71,0.1391,0,False,False,,,
bi_Normal,51033,51033,27.051745,26.200001,7.143182,51.025055,8.9,17.799999,21.6,31.1,39.900002,89.300003,9.5,1.001412,2.049185,71,0.1391,0,False,False,,,
fm1000_Normal,48458,48458,16.4662,16.7,1.887206,3.561546,5.6,13.2,15.3,17.7,19.3,22.0,2.4,-0.603651,0.895684,60,0.1238,0,False,False,,,
GACC_Area Command Teams,50848,50848,0.00116,0.0,0.034044,0.001159,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.306695,856.916048,59,0.116,0,True,True,,,
RPL_THEME4,51018,51018,-0.219502,0.5476,27.626599,763.228978,-999.0,0.151365,0.3481,0.742,0.9221,0.9996,0.3939,-36.12387,1303.084335,39,0.0764,0,True,True,,,
RPL_THEMES,51018,51018,-0.167118,0.6105,27.627902,763.300973,-999.0,0.1979,0.4467,0.7693,0.9404,0.9997,0.3226,-36.124444,1303.111941,39,0.0764,0,True,True,,,
RPL_THEME1,51018,51018,-0.201882,0.5778,27.626858,763.243303,-999.0,0.1638,0.4267,0.7109,0.903,0.9998,0.2842,-36.124766,1303.127475,39,0.0764,0,True,True,,,
EPL_NOVEH,51018,51018,-0.258696,0.3545,25.022089,626.104949,-999.0,0.0435,0.1931,0.5247,0.7607,0.9715,0.3316,-39.887809,1589.222877,32,0.0627,0,True,True,,,
EPL_POV,51018,51018,-0.085345,0.5524,25.026421,626.321745,-999.0,0.1563,0.3923,0.7009,0.9058,0.9998,0.3086,-39.887863,1589.225775,32,0.0627,0,True,True,,,
RPL_THEME2,51018,51018,0.048343,0.6931,24.635488,606.907256,-999.0,0.1976,0.5051,0.844,0.9665,0.9999,0.3389,-40.526546,1640.611468,31,0.0608,0,True,True,,,
