Column,Count Non-Null,Count Finite,Mean,Median,Std,Variance,Min,P5,Q1 (25%),Q3 (75%),P95,Max,IQR,Skewness,Kurtosis (excess),Outlier Count (IQR),Outlier %,Infinite Count,Highly Skewed,Heavy Tailed,Q1,Q3,Kurtosis
M_HSG,51031,51031,0.018988,0.0,0.136485,0.018628,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.048819,47.687717,969,1.8988,0,True,True,,,
GACC_NIMO Teams,50848,50848,0.024524,0.0,0.15943,0.025418,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.693618,46.899342,1209,2.3777,0,True,True,,,
M_HSG_EOMI,51031,51031,0.02328,0.0,0.150793,0.022738,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.323098,37.983061,1188,2.328,0,True,True,,,
RMPLI,51031,51031,0.025004,0.0,0.15614,0.02438,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.084469,35.022141,1276,2.5004,0,True,True,,,
No_FireStation_1.0km,4832,4832,1.035389,1.0,0.198811,0.039526,1.0,1.0,1.0,1.0,1.0,3.0,0.0,6.02193,39.344941,158,3.2699,0,True,True,,,
GACC_Type 2 IMTs,50848,50848,0.298143,0.0,0.9968,0.993611,0.0,0.0,0.0,0.0,2.0,13.0,0.0,5.458737,39.351882,7498,14.7459,0,True,True,,,
M_PLN,51031,51031,0.030707,0.0,0.172524,0.029764,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.440539,27.600551,1567,3.0707,0,True,True,,,
RMP_ET,51031,51031,0.033372,0.0,0.179607,0.032259,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.196294,25.002446,1703,3.3372,0,True,True,,,
TRI_1km,51033,51033,2.668422,2.361,1.76814,3.126318,0.0,0.683,1.633,3.35,5.394,55.312,1.717,5.096887,78.721979,427,0.8367,0,True,True,,,
PLHSE,51031,51031,0.039799,0.0,0.195489,0.038216,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.708375,20.169589,2031,3.9799,0,True,True,,,
TRI,51033,51033,2.527341,2.0,2.267577,5.141904,0.0,0.0,1.414,3.162,6.083,54.69,1.748,4.640532,55.700182,952,1.8655,0,True,True,,,
LLELI,51031,51031,0.043366,0.0,0.203681,0.041486,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.483989,18.106871,2213,4.3366,0,True,True,,,
GACC_Type 1 IMTs,50848,50848,0.210726,0.0,0.624511,0.390015,0.0,0.0,0.0,0.0,1.0,8.0,0.0,4.452951,27.320652,7421,14.5945,0,True,True,,,
POV_ET,51031,51031,0.044189,0.0,0.205516,0.042237,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.435938,17.678237,2255,4.4189,0,True,True,,,
M_PLN_EOMI,51031,51031,0.0446,0.0,0.206427,0.042612,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.412389,17.469865,2276,4.46,0,True,True,,,
Popo_1km,51031,51031,1.473085,0.1268,3.783864,14.317627,0.0,0.0006,0.0256,0.68555,9.3715,57.661,0.65995,4.308354,24.554221,6857,13.4369,0,True,True,,,
Slope,51033,51033,1.554817,1.0,1.662932,2.765341,0.0,0.0,1.0,2.0,4.0,36.0,1.0,4.164603,43.794974,1156,2.2652,0,True,True,,,
LLE_ET,51031,51031,0.049597,0.0,0.217114,0.047138,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.149167,15.21618,2531,4.9597,0,True,True,,,
LMILHSE,51031,51031,0.053027,0.0,0.224089,0.050216,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.98941,13.91594,2706,5.3027,0,True,True,,,
GACC_New LF,50848,50848,5.355924,2.0,10.022158,100.443654,0.0,0.0,0.0,5.0,21.0,79.0,5.0,3.897776,20.502679,2607,5.127,0,True,True,,,
LMI_ET,51031,51031,0.055574,0.0,0.2291,0.052487,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.879914,13.054247,2836,5.5574,0,True,True,,,
ULHSE,51031,51031,0.055848,0.0,0.229631,0.05273,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.868546,12.966154,2850,5.5848,0,True,True,,,
UN_ET,51031,51031,0.060003,0.0,0.237494,0.056404,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.705475,11.731004,3062,6.0003,0,True,True,,,
LILHSE,51031,51031,0.064353,0.0,0.245383,0.060213,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.550887,10.609218,3284,6.4353,0,True,True,,,
LISO_ET,51031,51031,0.064529,0.0,0.245696,0.060367,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.54493,10.566945,3293,6.4529,0,True,True,,,
EALRLI,51031,51031,0.072485,0.0,0.259292,0.067233,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.297678,8.875028,3699,7.2485,0,True,True,,,
No_FireStation_20.0km,50935,50935,34.283126,25.0,40.165622,1613.277222,1.0,4.0,14.0,37.0,142.0,251.0,23.0,3.021278,9.366289,3363,6.6025,0,True,True,,,
No_FireStation_10.0km,48893,48893,8.608308,5.0,11.774525,138.639444,1.0,1.0,3.0,9.0,39.4,70.0,6.0,3.019104,9.189988,3071,6.2811,0,True,True,,,
EBLI,51031,51031,0.085164,0.0,0.279128,0.077913,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.972486,6.835941,4346,8.5164,0,True,False,,,
EBLRLI,51031,51031,0.08973,0.0,0.285797,0.08168,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.871173,6.243877,4579,8.973,0,True,False,,,
M_ENY,51031,51031,0.089926,0.0,0.286078,0.081841,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.866981,6.219826,4589,8.9926,0,True,False,,,
Slope_1km,51033,51033,1.138868,1.057851,1.147882,1.317632,-0.813018,-0.52634,0.472261,1.69021,2.885537,27.343195,1.217949,2.830454,32.25451,286,0.5604,0,True,True,,,
GACC_Uncont LF,50848,50848,3.304181,2.0,4.658626,21.702799,0.0,0.0,1.0,4.0,13.0,37.0,3.0,2.818596,9.856123,2214,4.3542,0,True,True,,,
EPLRLI,51031,51031,0.092434,0.0,0.28964,0.083892,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.814399,5.921075,4717,9.2434,0,True,False,,,
road_common_name_dis,33833,33833,17.624183,17.2,8.975102,80.552455,0.1,4.5,12.3,22.4,29.4,247.5,10.1,2.762437,41.399743,441,1.3035,0,True,True,,,
TPF,51031,51031,4935.065254,4552.0,2678.751948,7175712.001425,0.0,1860.0,3154.0,6055.0,9280.0,51536.0,2901.0,2.733112,20.653214,349,0.6839,0,True,True,,,
HDLI,51031,51031,0.107229,0.0,0.309407,0.095733,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.538962,4.446502,5472,10.7229,0,True,False,,,
Aspect,51033,51033,31.48984,-1.0,81.376755,6622.176222,-1.0,-1.0,-1.0,-1.0,259.0,359.0,0.0,2.527803,5.184399,9229,18.0844,0,True,False,,,
No_FireStation_5.0km,32001,32001,2.384769,1.0,2.546844,6.486417,1.0,1.0,1.0,2.0,8.0,17.0,1.0,2.4271,5.903663,3506,10.9559,0,True,False,,,
PoaSecunda,34191,34191,29.701266,0.0,81.775843,6687.288468,0.0,0.0,0.0,0.0,255.0,255.0,0.0,2.392248,3.723108,4467,13.0648,0,True,False,,,
Medusahead,34191,34191,29.709397,0.0,81.773029,6686.828271,0.0,0.0,0.0,0.0,255.0,255.0,0.0,2.392232,3.723066,4541,13.2813,0,True,False,,,
CheatGrass,34191,34191,29.775789,0.0,81.752298,6683.438292,0.0,0.0,0.0,0.0,255.0,255.0,0.0,2.391856,3.722011,4742,13.8691,0,True,False,,,
ExoticAnnualGrass,34191,34191,29.845983,0.0,81.731896,6680.102748,0.0,0.0,0.0,0.0,255.0,255.0,0.0,2.391295,3.720415,4893,14.3108,0,True,False,,,
TC,51031,51031,0.901687,0.0,1.720254,2.959274,0.0,0.0,0.0,1.0,5.0,12.0,1.0,2.366526,5.896955,2775,5.4379,0,True,False,,,
EB_ET,51031,51031,0.119672,0.0,0.324581,0.105353,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.34359,3.492549,6107,11.9672,0,True,False,,,
DLI,51031,51031,0.121965,0.0,0.327249,0.107092,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.310474,3.33842,6224,12.1965,0,True,False,,,
M_ENY_EOMI,51031,51031,0.125884,0.0,0.331722,0.11004,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.255685,3.088238,6424,12.5884,0,True,False,,,
M_WKFC,51031,51031,0.128569,0.0,0.334725,0.112041,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.219405,2.925872,6561,12.8569,0,True,False,,,
M_WKFC_103,51031,51031,0.137367,0.0,0.344238,0.1185,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.106952,2.439342,7010,13.7367,0,True,False,,,
DB_ET,51031,51031,0.139876,0.0,0.346861,0.120313,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.076554,2.312168,7138,13.9876,0,True,False,,,
DSF_PFS,51016,51016,0.183179,0.13,0.178788,0.031965,0.0,0.03,0.06,0.21,0.64,0.96,0.15,2.045585,4.029352,2309,4.526,0,True,False,,,
HD_ET,51031,51031,0.144598,0.0,0.351699,0.123692,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.021135,2.08507,7379,14.4598,0,True,False,,,
Evacuation,767,767,2.687093,2.0,1.330944,1.771413,2.0,2.0,2.0,4.0,6.7,7.0,2.0,2.019291,3.386862,0,0.0,0,True,False,,,
