,count,mean,std,min,5%,25%,50%,75%,95%,max
EPL_MOBILE,50837.0,0.06351047662135846,24.680387949313317,-999.0,0.0,0.6034,0.7668,0.8712,0.9776,0.9999
EPL_CROWD,50837.0,0.3080395794401715,18.8093188964641,-999.0,0.0,0.4997,0.73,0.8915,0.9775,0.9999
EPL_NOVEH,50837.0,-0.2769987135354171,25.838226960367834,-999.0,0.0334,0.1931,0.369,0.5795,0.806,0.9996
EPL_GROUPQ,50837.0,0.19693133347758515,18.80785389569146,-999.0,0.0,0.4084,0.6214,0.7919,0.9577,0.9976
road_county_dis,839.0,30.28438617401669,7.667386334126756,1.5,14.49,26.2,31.0,34.8,42.209999999999994,50.0
road_interstate_dis,41.0,37.617073170731715,10.656662292646427,7.3,15.8,35.6,41.0,44.1,49.6,51.4
road_common_name_dis,33061.0,30.51917364870996,14.04218990301569,0.1,2.5,23.6,35.1,39.7,47.7,269.8
road_other_dis,345.0,20.264057971014495,14.626981511445363,2.2,4.62,8.0,12.6,35.5,45.7,61.4
road_state_dis,693.0,38.106782106782106,7.359168922599594,4.1,24.68,35.8,39.5,42.3,47.839999999999996,54.5
road_US_dis,123.0,32.082926829268295,10.573720186224401,5.4,12.350000000000001,25.25,35.3,39.75,44.769999999999996,53.2
Ecoregion_US_L3CODE,50813.0,26.026981284317007,33.404343335522434,1.0,4.0,6.0,7.0,78.0,85.0,85.0
Ecoregion_NA_L2CODE,50813.0,9.760266073642569,2.0999789006536873,6.2,6.2,7.1,11.1,11.1,11.1,11.1
Ecoregion_NA_L1CODE,50813.0,9.63117706098833,2.1387500869858624,6.0,6.0,7.0,11.0,11.0,11.0,11.0
SDI,50881.0,-1.337561552007739e+32,2.1334001925572395e+34,-3.4028234663852885e+36,0.0,0.0,0.0,0.11,0.75,2.82
Annual_etr,50881.0,2097.837385271516,376.33464337940336,916.0,1538.0,1862.0,2076.0,2284.0,2752.0,3620.0
Annual_precipitation,50881.0,632.1979324305732,506.8151354078028,18.0,148.0,279.0,460.0,824.0,1698.0,5377.0
Annual_tempreture,50881.0,289.31369273402646,3.505930931379209,274.0,282.0,288.0,290.0,291.0,293.0,299.0
Aridity_index,50881.0,0.33150232896366033,0.3009756005820335,0.01,0.06,0.13,0.23,0.44,0.96,3.48
Evacuation,5529.0,2.8654367878459035,1.3942385175448277,2.0,2.0,2.0,2.0,4.0,6.0,7.0
pr,50881.0,0.5144710291550947,3.1337117977952924,0.0,0.0,0.0,0.0,0.0,2.299999952316284,132.40000915527344
